,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Cururupu,2,BR,1562977540,98,-1.82,-44.87,22.25,0.91
376,Fallon,1,US,1562977540,54,46.84,-105.12,26.0,2.6
377,Nizhniy Odes,61,RU,1562977541,97,63.64,54.86,11.15,2.64
378,Latehar,100,IN,1562977541,84,23.74,84.5,25.25,2.93
379,Muncar,17,ID,1562977541,93,-8.43,114.34,20.25,0.87
380,Orocue,9,CO,1562977541,80,4.79,-71.34,25.35,1.44
381,Gweta,0,BW,1562977542,22,-20.21,25.26,13.75,4.59
382,La Romana,20,DO,1562977542,78,18.43,-68.97,28.0,3.1
383,Moba,31,CD,1562977542,62,-7.04,29.77,16.05,1.8
384,Gorele,75,TR,1562977542,93,41.03,39.0,19.0,6.7
385,Alpena,1,US,1562977542,73,45.06,-83.43,23.89,1.5
386,Pandharpur,100,IN,1562977543,85,17.68,75.33,23.45,5.21
387,Safranbolu,0,TR,1562977543,85,41.25,32.69,12.15,1.3
388,Klaksvik,100,FO,1562977536,100,62.23,-6.59,10.0,2.1
389,Imbituba,0,BR,1562977543,77,-28.24,-48.67,19.0,5.1
390,Abeche,54,TD,1562977544,53,13.83,20.83,28.45,6.31
391,Zyryanka,50,RU,1562977544,46,65.73,150.89,26.35,3.16
392,Margate,75,AU,1562977544,81,-43.03,147.26,6.11,6.7
393,Energetik,58,RU,1562977544,39,51.74,58.8,22.35,4.39
394,Ponta Delgada,20,PT,1562977544,82,37.73,-25.67,19.0,1.0
395,Grafton,97,AU,1562977545,34,-29.69,152.93,20.0,3.6
396,Izumo,75,JP,1562977545,88,35.37,132.75,23.0,1.5
397,Mtambile,75,TZ,1562977545,77,-5.38,39.7,25.85,7.94
398,Nador,32,MA,1562977545,73,35.17,-2.93,24.0,2.6
399,Horsham,0,AU,1562977545,76,-36.71,142.2,7.85,7.54
400,Gat,3,SN,1562977546,78,14.69,-16.54,25.0,3.1
401,Clarksdale,1,US,1562977546,100,34.2,-90.57,32.22,4.1
402,Kawalu,55,ID,1562977546,92,-7.38,108.21,19.35,1.33
403,Lamu,2,CN,1562977546,64,35.77,102.37,11.85,0.38
404,Newport,40,US,1562977261,88,41.49,-71.31,26.67,2.1
405,Baruun-Urt,99,MN,1562977537,56,46.68,113.28,19.45,4.04
406,Falmouth,33,GB,1562977547,93,50.16,-5.07,16.67,5.1
407,Angahuan,90,MX,1562977547,88,19.55,-102.23,19.0,1.47
408,Betare Oya,100,CM,1562977547,94,5.6,14.08,18.65,0.59
409,Gimli,66,CA,1562977547,45,50.63,-96.99,23.89,0.89
410,Florian,83,CO,1562977547,90,5.71,-74.17,22.55,1.4
411,Harper,1,US,1562977548,46,30.3,-99.24,32.22,2.62
412,Alghero,0,IT,1562977548,94,40.56,8.32,23.0,2.6
413,Saint-Louis,40,SN,1562977548,83,16.03,-16.5,26.0,3.1
414,Sable-sur-Sarthe,0,FR,1562977548,87,47.84,-0.33,19.0,2.1
415,Durango,75,MX,1562977549,40,24.02,-104.67,23.0,7.7
416,Orlik,75,PL,1562977549,100,53.95,17.74,15.0,1.5
417,Carballo,0,ES,1562977549,72,43.21,-8.69,21.11,1.0
418,Laguna,40,BZ,1562977549,70,16.17,-88.94,31.0,3.1
419,Dom Pedrito,42,BR,1562977549,93,-30.98,-54.67,15.45,2.4
420,Homer,1,US,1562977550,68,59.64,-151.54,19.44,4.6
421,Bafra,75,TR,1562977550,88,41.57,35.91,17.22,2.1
422,Junagarh,100,IN,1562977550,88,19.86,82.94,24.35,1.73
423,Seydi,92,NE,1562977550,56,13.34,7.75,28.35,5.54
424,George Town,75,MY,1562977413,83,5.42,100.33,26.0,2.1
425,Levokumskoye,83,RU,1562977550,82,44.82,44.66,15.45,1.45
426,Grants Pass,1,US,1562977551,33,42.44,-123.33,32.22,6.2
427,Manicore,93,BR,1562977551,86,-5.81,-61.3,23.85,0.32
428,Leshukonskoye,9,RU,1562977551,91,64.9,45.76,5.55,0.88
429,La Asuncion,99,AR,1562977551,94,-26.05,-65.39,9.45,0.92
430,Oldenburg,75,DE,1562977269,93,53.14,8.21,16.11,5.1
431,Alta Floresta,0,BR,1562977552,78,-9.87,-56.08,24.0,0.77
432,Dakar,20,SN,1562977552,83,14.69,-17.45,25.0,2.1
433,Boyolangu,0,ID,1562977552,88,-8.09,111.9,19.75,2.61
434,Karaton,20,ID,1562977553,69,-6.34,106.1,25.0,2.6
435,Maniitsoq,86,GL,1562977553,86,65.42,-52.9,6.15,4.79
436,Riyadh,0,SA,1562977279,10,24.63,46.72,31.0,4.1
437,Morondava,0,MG,1562977553,61,-20.3,44.28,22.45,3.72
438,Deputatskiy,68,RU,1562977554,67,69.3,139.9,18.45,4.18
439,Salalah,90,OM,1562977514,100,17.01,54.1,26.0,3.1
440,Dalby,67,AU,1562977355,54,-27.18,151.26,18.33,6.7
441,Keetmanshoop,0,NA,1562977554,19,-26.57,18.15,16.0,2.6
442,Samarai,100,PG,1562977510,96,-10.62,150.67,22.85,2.05
443,Praia,0,BR,1562977554,72,-20.25,-43.81,17.0,0.67
444,Tautira,75,PF,1562977539,78,-17.73,-149.15,27.0,6.7
445,Hobyo,26,SO,1562977547,72,5.35,48.53,25.35,10.41
446,Saint-Joseph,0,FR,1562977555,94,43.56,6.97,27.0,1.5
447,Maldonado,90,UY,1562977286,100,-34.91,-54.96,12.0,3.1
448,Mumford,42,GH,1562977555,98,5.26,-0.76,21.45,2.07
449,Bara,97,NG,1562977555,90,10.41,10.6,22.15,2.39
450,Funadhoo,100,MV,1562977556,74,6.15,73.27,28.35,2.91
451,Mikhaylovka,100,RU,1562977556,82,52.96,103.29,16.05,2.86
452,Hauterive,90,CA,1562977556,100,49.18,-68.27,18.0,3.6
453,Boguchany,0,RU,1562977556,47,58.38,97.46,17.65,1.14
454,Lengshuijiang,100,CN,1562977556,95,27.66,111.45,21.15,0.85
455,Whitehorse,90,CA,1562977454,48,60.72,-135.06,19.0,3.6
456,Touros,75,BR,1562977557,100,-5.2,-35.46,23.0,3.1
457,Takoradi,57,GH,1562977557,95,4.89,-1.75,22.25,1.81
458,Ayagoz,0,KZ,1562977557,77,47.96,80.43,15.25,7.97
459,Antalaha,4,MG,1562977557,95,-14.9,50.28,14.95,1.72
460,Parrita,75,CR,1562977558,88,9.52,-84.33,22.78,3.1
461,Kautokeino,100,NO,1562977558,79,69.01,23.04,6.45,1.58
462,Rosarito,75,CO,1562977558,51,4.91,-75.23,27.0,1.5
463,Khash,1,IR,1562977558,38,28.22,61.21,19.65,1.22
464,Grindavik,90,IS,1562977558,93,63.84,-22.43,12.0,2.1
465,Tarakan,93,ID,1562977502,87,3.3,117.63,24.35,2.42
466,Westport,1,US,1562977342,51,41.14,-73.36,28.33,4.6
467,Tashtagol,100,RU,1562977559,77,52.76,87.85,15.85,1.52
468,Pokhara,90,NP,1562977559,93,28.21,83.99,13.15,0.17
469,Kiama,5,AU,1562977559,40,-34.67,150.86,13.33,10.8
470,Lagoa,20,PT,1562977559,94,37.14,-8.45,20.0,2.1
471,Beringovskiy,34,RU,1562977560,44,63.05,179.32,22.45,0.72
472,Carutapera,23,BR,1562977560,86,-1.2,-46.02,25.05,2.75
473,Marienburg,0,DE,1562977560,93,52.12,9.98,15.56,2.6
474,Linxia,12,CN,1562977560,62,35.6,103.21,14.75,2.62
475,Kuybyshevskiy Zaton,75,RU,1562977561,93,55.16,49.17,14.0,2.0
476,Iralaya,40,HN,1562977561,70,15.0,-83.23,29.0,4.1
477,Gunjur,75,GM,1562977561,73,13.18,-16.76,25.35,3.73
478,Les Cayes,3,HT,1562977561,79,18.19,-73.75,27.65,6.17
479,Otaru,90,JP,1562977562,91,43.18,140.99,18.89,3.13
480,Menongue,0,AO,1562977562,42,-14.66,17.68,9.95,1.86
481,Havre-Saint-Pierre,90,CA,1562977562,93,50.23,-63.6,14.0,2.1
482,Saint-Denis,0,FR,1562977551,67,48.94,2.36,18.89,1.0
483,Brae,100,GB,1562977562,93,60.4,-1.35,11.0,2.6
484,Eureka,1,US,1562977403,72,40.8,-124.16,19.0,8.7
485,Elizabeth City,1,US,1562977563,70,36.3,-76.22,31.67,3.6
486,Lulea,29,SE,1562977563,66,65.58,22.15,10.0,2.1
487,Linhares,21,BR,1562977563,92,-19.38,-40.06,18.15,0.24
488,Erice,0,IT,1562977563,88,38.04,12.59,26.11,2.1
489,Caruray,75,PH,1562977564,94,10.31,119.01,26.0,2.1
490,Flinders,33,AU,1562977564,40,-34.58,150.85,13.33,10.8
491,Henties Bay,0,NA,1562977549,96,-22.12,14.28,12.22,2.24
492,Kjopsvik,59,NO,1562977564,93,68.1,16.37,11.11,5.1
493,Mount Isa,84,AU,1562977564,45,-20.73,139.49,17.0,8.7
494,Zig,1,US,1562977565,51,40.13,-92.77,30.0,2.1
495,Coxim,0,BR,1562977433,36,-18.5,-54.75,22.45,1.9
496,Gualaceo,90,EC,1562977565,67,-2.89,-78.78,16.0,5.1
497,Musson,0,LU,1562977565,93,49.56,5.71,15.0,3.1
498,Goderich,14,CA,1562977566,73,43.74,-81.71,20.56,3.58
499,Kanigoro,21,ID,1562977566,86,-8.13,112.22,21.05,3.54
500,San Quintin,0,PH,1562977566,76,17.54,120.52,27.25,1.36
501,Devils Lake,40,US,1562977566,53,48.11,-98.87,25.0,2.1
502,Makhachkala,40,RU,1562977566,77,42.98,47.5,20.0,8.0
503,Singarayakonda,97,IN,1562977567,66,15.25,80.02,29.15,2.59
504,Marsabit,87,KE,1562977567,53,2.34,37.99,25.15,9.8
505,Bousse,0,FR,1562977567,87,49.28,6.2,16.11,1.5
506,Cockburn Town,40,TC,1562977339,70,21.46,-71.14,29.0,3.1
507,Marquette,40,US,1562977385,69,46.54,-87.4,25.0,3.6
508,Phimai,100,TH,1562977568,78,15.22,102.49,27.0,2.6
509,Diego de Almagro,71,CL,1562977568,87,-26.39,-70.05,7.15,0.33
510,Nicolas Bravo,75,MX,1562977568,40,24.39,-104.74,23.0,7.7
511,Falam,99,MM,1562977568,97,22.91,93.68,17.35,0.9
512,Punta Alta,0,AR,1562977568,68,-27.46,-55.82,22.0,1.0
513,Abha,5,SA,1562977569,49,18.22,42.5,25.0,2.83
514,Maumere,14,ID,1562977569,64,-8.63,122.22,23.85,1.33
515,Koslan,52,RU,1562977569,98,63.46,48.9,6.55,1.3
516,Sendhwa,96,IN,1562977569,82,21.69,75.09,25.65,4.08
517,Galesong,20,ID,1562977570,78,-5.32,119.37,26.0,2.6
518,Kukushtan,75,RU,1562977570,93,57.65,56.5,16.0,4.0
519,Hami,1,CN,1562977570,33,42.84,93.51,25.05,3.22
520,Mizdah,0,LY,1562977570,57,31.45,12.98,24.95,2.61
521,Yaan,100,NG,1562977570,95,7.38,8.57,22.45,2.21
522,Awbari,0,LY,1562977571,11,26.59,12.77,31.45,2.44
523,Kurchum,0,KZ,1562977571,65,48.57,83.65,16.95,3.14
524,Bud,95,NO,1562977571,81,62.91,6.91,13.0,4.1
525,Pavlodar,0,KZ,1562977571,82,52.28,76.96,16.0,6.0
526,Itarema,10,BR,1562977572,80,-2.92,-39.92,24.25,3.32
527,Guerrero Negro,0,MX,1562977449,85,27.97,-114.04,19.45,9.6
528,Tezu,100,IN,1562977572,98,27.93,96.16,21.65,1.63
529,Bima,7,ID,1562977572,79,-8.45,118.73,21.45,2.34
530,Baykit,67,RU,1562977572,60,61.68,96.39,18.75,1.29
531,Rio Verde de Mato Grosso,0,BR,1562977572,38,-18.92,-54.84,21.55,2.31
532,Minna,98,NG,1562977573,92,9.62,6.55,23.15,1.53
533,Morden,1,CA,1562977573,50,49.19,-98.1,25.0,4.1
534,Kargasok,30,RU,1562977573,77,59.06,80.87,18.15,1.82
535,Chapais,90,CA,1562977573,93,49.78,-74.86,16.0,1.5
536,Mana,62,NG,1562977573,61,13.03,5.27,27.75,5.58
